Treatment,Replicate,Block,Combo,DungType,Year,Total
C,10C,Far,Far_C,Cow,2017,0
C,10C,Far,Far_C,Cow,2018,0
C,10C,Far,Far_C,Donkey,2017,0
C,10C,Far,Far_C,Donkey,2018,0
C,10C,Far,Far_C,Oryx,2017,1
C,10C,Far,Far_C,Oryx,2018,0
C,10C,Far,Far_C,Spring.Goat,2017,4
C,10C,Far,Far_C,Spring.Goat,2018,1
C,1C,Near,Near_C,Cow,2017,39
C,1C,Near,Near_C,Cow,2018,13
C,1C,Near,Near_C,Donkey,2017,3983
C,1C,Near,Near_C,Donkey,2018,571
C,1C,Near,Near_C,Oryx,2017,12
C,1C,Near,Near_C,Oryx,2018,0
C,1C,Near,Near_C,Spring.Goat,2017,2
C,1C,Near,Near_C,Spring.Goat,2018,0
C,2C,Near,Near_C,Cow,2017,2
C,2C,Near,Near_C,Cow,2018,1
C,2C,Near,Near_C,Donkey,2017,691
C,2C,Near,Near_C,Donkey,2018,248
C,2C,Near,Near_C,Oryx,2017,0
C,2C,Near,Near_C,Oryx,2018,0
C,2C,Near,Near_C,Spring.Goat,2017,3
C,2C,Near,Near_C,Spring.Goat,2018,3
C,3C,Near,Near_C,Cow,2017,1
C,3C,Near,Near_C,Cow,2018,1
C,3C,Near,Near_C,Donkey,2017,4
C,3C,Near,Near_C,Donkey,2018,6
C,3C,Near,Near_C,Oryx,2017,0
C,3C,Near,Near_C,Oryx,2018,0
C,3C,Near,Near_C,Spring.Goat,2017,2
C,3C,Near,Near_C,Spring.Goat,2018,3
C,4C,Near,Near_C,Cow,2017,0
C,4C,Near,Near_C,Cow,2018,10
C,4C,Near,Near_C,Donkey,2017,107
C,4C,Near,Near_C,Donkey,2018,28
C,4C,Near,Near_C,Oryx,2017,0
C,4C,Near,Near_C,Oryx,2018,0
C,4C,Near,Near_C,Spring.Goat,2017,0
C,4C,Near,Near_C,Spring.Goat,2018,0
C,5C,Near,Near_C,Cow,2017,2
C,5C,Near,Near_C,Cow,2018,0
C,5C,Near,Near_C,Donkey,2017,184
C,5C,Near,Near_C,Donkey,2018,31
C,5C,Near,Near_C,Oryx,2017,0
C,5C,Near,Near_C,Oryx,2018,0
C,5C,Near,Near_C,Spring.Goat,2017,10
C,5C,Near,Near_C,Spring.Goat,2018,8
C,6C,Far,Far_C,Cow,2017,0
C,6C,Far,Far_C,Cow,2018,0
C,6C,Far,Far_C,Donkey,2017,264
C,6C,Far,Far_C,Donkey,2018,121
C,6C,Far,Far_C,Oryx,2017,4
C,6C,Far,Far_C,Oryx,2018,0
C,6C,Far,Far_C,Spring.Goat,2017,1
C,6C,Far,Far_C,Spring.Goat,2018,6
C,7C,Far,Far_C,Cow,2017,0
C,7C,Far,Far_C,Cow,2018,2
C,7C,Far,Far_C,Donkey,2017,110
C,7C,Far,Far_C,Donkey,2018,1
C,7C,Far,Far_C,Oryx,2017,1
C,7C,Far,Far_C,Oryx,2018,0
C,7C,Far,Far_C,Spring.Goat,2017,0
C,7C,Far,Far_C,Spring.Goat,2018,0
C,8C,Far,Far_C,Cow,2017,17
C,8C,Far,Far_C,Cow,2018,0
C,8C,Far,Far_C,Donkey,2017,99
C,8C,Far,Far_C,Donkey,2018,367
C,8C,Far,Far_C,Oryx,2017,30
C,8C,Far,Far_C,Oryx,2018,2
C,8C,Far,Far_C,Spring.Goat,2017,7
C,8C,Far,Far_C,Spring.Goat,2018,3
C,9C,Far,Far_C,Cow,2017,1
C,9C,Far,Far_C,Cow,2018,11
C,9C,Far,Far_C,Donkey,2017,8
C,9C,Far,Far_C,Donkey,2018,23
C,9C,Far,Far_C,Oryx,2017,4
C,9C,Far,Far_C,Oryx,2018,0
C,9C,Far,Far_C,Spring.Goat,2017,1
C,9C,Far,Far_C,Spring.Goat,2018,0
E,10E,Far,Far_E,Cow,2017,0
E,10E,Far,Far_E,Cow,2018,1
E,10E,Far,Far_E,Donkey,2017,0
E,10E,Far,Far_E,Donkey,2018,0
E,10E,Far,Far_E,Oryx,2017,0
E,10E,Far,Far_E,Oryx,2018,0
E,10E,Far,Far_E,Spring.Goat,2017,1
E,10E,Far,Far_E,Spring.Goat,2018,0
E,1E,Near,Near_E,Cow,2017,1
E,1E,Near,Near_E,Cow,2018,1
E,1E,Near,Near_E,Donkey,2017,27
E,1E,Near,Near_E,Donkey,2018,27
E,1E,Near,Near_E,Oryx,2017,0
E,1E,Near,Near_E,Oryx,2018,0
E,1E,Near,Near_E,Spring.Goat,2017,0
E,1E,Near,Near_E,Spring.Goat,2018,0
E,2E,Near,Near_E,Cow,2017,4
E,2E,Near,Near_E,Cow,2018,4
E,2E,Near,Near_E,Donkey,2017,299
E,2E,Near,Near_E,Donkey,2018,29
E,2E,Near,Near_E,Oryx,2017,6
E,2E,Near,Near_E,Oryx,2018,0
E,2E,Near,Near_E,Spring.Goat,2017,0
E,2E,Near,Near_E,Spring.Goat,2018,12
E,3E,Near,Near_E,Cow,2017,0
E,3E,Near,Near_E,Cow,2018,4
E,3E,Near,Near_E,Donkey,2017,27
E,3E,Near,Near_E,Donkey,2018,100
E,3E,Near,Near_E,Oryx,2017,0
E,3E,Near,Near_E,Oryx,2018,0
