ID,Year,Month,MoYr,mean_NDVI,Rain_mm,LT_mont_mean_NDVI,NDVI_anomaly,AnnSumRain,,,Yr,Total Rain,,
1,2000,2,Feb-00,0.0955385,6.4,0.10145707,-0.00591857,6.4,,,2000,36,,
2,2000,3,Mar-00,0.10179215,27.7,0.10441608,-0.00262393,34.1,,,2001,9.1,,
3,2000,4,Apr-00,0.1105019,1.6,0.10699515,0.00350675,35.7,,,2002,31,,
4,2000,5,May-00,0.106728,0,0.10584298,0.00088502,35.7,,,2003,2,,
5,2000,6,Jun-00,0.1024164,0,0.10419983,-0.00178343,35.7,,,2004,23.5,,
6,2000,7,Jul-00,0.10321945,0.2,0.10245265,0.0007668,35.9,,,2005,9.8,,
7,2000,8,Aug-00,0.0990486,0,0.10293112,-0.00388252,35.9,,,2006,99.2,,
8,2000,9,Sep-00,0.0996416,0.9,0.10273864,-0.00309704,36.8,,,2007,5.5,,
9,2000,10,Oct-00,0.0930048,0,0.0993744,-0.0063696,36.8,,,2008,83.4,,
10,2000,11,Nov-00,0.0948861,0,0.09902488,-0.00413878,36.8,,,2009,38.5,,
11,2000,12,Dec-00,0.0989079,0,0.09908074,-0.00017284,36.8,,,2010,16.1,,
12,2001,1,01-Jan,0.09739155,0,0.09937226,-0.00198071,0,,,2011,163.6,,
13,2001,2,01-Feb,0.10094775,0,0.10145707,-0.00050932,0,,,2012,75.4,,
14,2001,3,01-Mar,0.1027716,0,0.10441608,-0.00164448,0,,,2013,86.54,,
15,2001,4,01-Apr,0.10655665,9.1,0.10699515,-0.0004385,9.1,,,2014,8.9,,
16,2001,5,01-May,0.0996245,0,0.10584298,-0.00621848,9.1,,,2015,8.4,,
17,2001,6,01-Jun,0.09947955,0,0.10419983,-0.00472028,9.1,,,2016,17.9,,
18,2001,7,01-Jul,0.1000926,0,0.10245265,-0.00236005,9.1,,,2017,11.8,,
19,2001,8,01-Aug,0.09307595,0,0.10293112,-0.00985517,9.1,,,2018,58.9,,
20,2001,9,01-Sep,0.10300895,0,0.10273864,0.00027031,9.1,,,Avg,41.34421053,,
21,2001,10,01-Oct,0.1022288,0,0.0993744,0.0028544,9.1,,,Median,20.7,,
22,2001,11,01-Nov,0.10049585,0,0.09902488,0.00147097,9.1,,,se,9.837926442,,
23,2001,12,01-Dec,0.09956315,0,0.09908074,0.00048241,9.1,,,,,,
24,2002,1,02-Jan,0.1008714,4,0.09937226,0.00149914,4,,,,,,
25,2002,2,02-Feb,0.1012035,16,0.10145707,-0.00025357,20,,,,,,
26,2002,3,02-Mar,0.10307165,11,0.10441608,-0.00134443,31,,,,,,
27,2002,4,02-Apr,0.10306365,0,0.10699515,-0.0039315,31,,,,,,
28,2002,5,02-May,0.1040663,0,0.10584298,-0.00177668,31,,,,,,
29,2002,6,02-Jun,0.1028948,0,0.10419983,-0.00130503,31,,,,,,
30,2002,7,02-Jul,0.10177015,0,0.10245265,-0.0006825,31,,,,,,
31,2002,8,02-Aug,0.10673265,0,0.10293112,0.00380153,31,,,,,,
32,2002,9,02-Sep,0.1055372,0,0.10273864,0.00279856,31,,,,,,
33,2002,10,02-Oct,0.1055927,0,0.0993744,0.0062183,31,,,,,,
34,2002,11,02-Nov,0.10285705,0,0.09902488,0.00383217,31,,,,,,
35,2002,12,02-Dec,0.1032052,0,0.09908074,0.00412446,31,,,,,,
36,2003,1,03-Jan,0.10203075,0,0.09937226,0.00265849,0,,,,,,
37,2003,2,03-Feb,0.1061477,0,0.10145707,0.00469063,0,,,,,,
38,2003,3,03-Mar,0.10243635,0,0.10441608,-0.00197973,0,,,,,,
39,2003,4,03-Apr,0.0964683,2,0.10699515,-0.01052685,2,,,,,,
40,2003,5,03-May,0.09881555,0,0.10584298,-0.00702743,2,,,,,,
41,2003,6,03-Jun,0.0898613,0,0.10419983,-0.01433853,2,,,,,,
42,2003,7,03-Jul,0.0960783,0,0.10245265,-0.00637435,2,,,,,,
43,2003,8,03-Aug,0.09217065,0,0.10293112,-0.01076047,2,,,,,,
44,2003,9,03-Sep,0.10210125,0,0.10273864,-0.00063739,2,,,,,,
45,2003,10,03-Oct,0.0974421,0,0.0993744,-0.0019323,2,,,,,,
46,2003,11,03-Nov,0.0953363,0,0.09902488,-0.00368858,2,,,,,,
47,2003,12,03-Dec,0.09978075,0,0.09908074,0.00070001,2,,,,,,
48,2004,1,04-Jan,0.1005113,0,0.09937226,0.00113904,0,,,,,,
49,2004,2,04-Feb,0.10020535,0.5,0.10145707,-0.00125172,0.5,,,,,,
50,2004,3,04-Mar,0.099348,0,0.10441608,-0.00506808,0.5,,,,,,
51,2004,4,04-Apr,0.10235245,7,0.10699515,-0.0046427,7.5,,,,,,
52,2004,5,04-May,0.0953984,0,0.10584298,-0.01044458,7.5,,,,,,
53,2004,6,04-Jun,0.0955493,5,0.10419983,-0.00865053,12.5,,,,,,
54,2004,7,04-Jul,0.09547965,0,0.10245265,-0.006973,12.5,,,,,,
55,2004,8,04-Aug,0.0999643,0,0.10293112,-0.00296682,12.5,,,,,,
56,2004,9,04-Sep,0.10034685,0,0.10273864,-0.00239179,12.5,,,,,,
57,2004,10,04-Oct,0.09683195,0,0.0993744,-0.00254245,12.5,,,,,,
58,2004,11,04-Nov,0.0964342,11,0.09902488,-0.00259068,23.5,,,,,,
59,2004,12,04-Dec,0.09974,0,0.09908074,0.00065926,23.5,,,,,,
60,2005,1,05-Jan,0.09700335,0,0.09937226,-0.00236891,0,,,,,,
61,2005,2,05-Feb,0.0981235,2.7,0.10145707,-0.00333357,2.7,,,,,,
62,2005,3,05-Mar,0.0977337,7,0.10441608,-0.00668238,9.7,,,,,,
63,2005,4,05-Apr,0.10021785,0.1,0.10699515,-0.0067773,9.8,,,,,,
64,2005,5,05-May,0.09814825,0,0.10584298,-0.00769473,9.8,,,,,,
65,2005,6,05-Jun,0.09805565,0,0.10419983,-0.00614418,9.8,,,,,,
66,2005,7,05-Jul,0.09981665,0,0.10245265,-0.002636,9.8,,,,,,
67,2005,8,05-Aug,0.107019,0,0.10293112,0.00408788,9.8,,,,,,
