FID,ID,Y,X,Sex,Treatmen_1,Block,Dist_SL_m,River_V_m,Elev
1,1E,-23.5644,15.0361,f,Exclosure,Near,158.0449256,176.9,396
2,1C,-23.564515,15.034981,f,Control,Near,162.9523643,197.8,398
3,2E,-23.5634,15.0366,f,Exclosure,Near,115.0872393,126.4,397
4,2C,-23.5655,15.0382,f,Control,Near,188.0536283,173.1,406
5,3E,-23.56766,15.04049,f,Exclosure,Near,81.41436565,44.8,409
6,3C,-23.56796,15.03991,f,Control,Near,149.1100548,107.4,412
7,4E,-23.57096,15.041061,f,Exclosure,Near,404.1166414,378.8,430
8,4C,-23.572714,15.041466,f,Control,Near,589.732693,574.3,430
9,5C,-23.55741,15.02765,f,Control,Near,273.8999623,287.9,404
10,5E,-23.55685,15.02824,f,Control,Near,187.4792397,208.2,402
11,6E,-23.58928,15.05035,f,Exclosure,Far,1451.454551,2564,420
12,6C,-23.587958,15.048973,f,Control,Far,1512.941254,2405.4,428
13,7E,-23.59021,15.05194,f,Exclosure,Far,1358.302415,2740.2,428
14,7C,-23.5901,15.05114,f,Control,Far,1422.090883,2702.7,429
15,8E,-23.587668,15.048183,f,Exclosure,Far,1571.119815,2344.2,430
16,8C,-23.587848,15.047976,f,Control,Far,1598.878922,2356.6,430
17,9E,-23.58867,15.05181,f,Exclosure,Far,1287.912036,2559.5,424
18,9C,-23.58611,15.05138,f,Control,Far,1202.135278,2305.1,424
19,10E,-23.59204,15.0515,f,Exclosure,Far,1511.10503,2930.9,434
20,10C,-23.59077,15.05191,f,Control,Far,1394.712459,2820.6,435
